source	key_or_zh	russian
resource	about_check_update	Проверить обновления
resource	about_copyright	© Beijing Yingdong Guangnian Technology Co., Ltd. Все права защищены
resource	about_icp_record	Номер ICP-лицензии: 京ICP备2025136685号-2A
resource	about_sdk_list	Список сторонних SDK
resource	about_title	О приложении Doka Камера
resource	agreement_agree	Принять
resource	agreement_dialog_content	Добро пожаловать в Doka Камера!
Мы бережно относимся к вашей конфиденциальности. Подробности — в «Пользовательском соглашении» и «Политике конфиденциальности». Для работы основных функций мы можем запрашивать или использовать следующие разрешения и данные:
1. Разрешения основных функций:
- Камера: для съёмки фото и предпросмотра кадра.
- Микрофон: для записи звука коротких видео живых фото.
- Геолокация: для сохранения места съёмки.
2. Данные об устройстве и статистика:
- Идентификаторы устройства: OAID, модель устройства, версия системы — для безопасности, аналитики и адаптации.
- Список приложений: для оценки совместимости и статистики сторонних SDK.
- Данные датчиков: акселерометр и датчик ориентации — для уровня и коррекции ориентации фото.
Нажимая «Принять», вы подтверждаете, что прочитали и принимаете указанные соглашения.
resource	agreement_disagree	Отклонить
resource	agreement_read_and_agree	Я прочитал(а) и принимаю указанные соглашения
resource	agreement_title	Пользовательское соглашение и Политика конфиденциальности
resource	ai_compose_analyzing	ИИ анализирует кадр...
resource	ai_compose_continue_zoom_in	Продолжайте приближать
resource	ai_compose_entry	ИИ-компоновка
resource	ai_compose_exit	Выйти из компоновки
resource	ai_compose_next_tip_countdown	Далее (5 с)
resource	ai_filter_usage_tip_highlight	Использовать ИИ-фильтр отдельно
resource	ai_filter_usage_tip_message	• Эта кнопка включает ИИ-фильтр отдельно и подбирает фильтр по текущему кадру.
resource	ai_filter_usage_tip_title	Подсказка по ИИ-фильтру
resource	ai_usage_tip_next	Далее
resource	ai_usage_tip_title_format	Подсказка по ИИ-компоновке (%1$d/3)
resource	ai_usage_tip_understood	Понятно
resource	app_brand_name	Doka Камера
resource	app_name	Doka Камера
resource	bind_phone_action	Привязать номер телефона
resource	bind_phone_failed	Не удалось привязать номер: %1$s
resource	bind_phone_loading	Привязка...
resource	bind_phone_success	Номер телефона привязан
resource	bind_phone_title	Привязка номера телефона
resource	brvah_load_complete	Нажмите, чтобы загрузить ещё
resource	brvah_load_end	Больше нет данных
resource	brvah_load_failed	Ошибка загрузки, нажмите для повтора
resource	brvah_loading	Загрузка...
resource	camera_ai_align_color_ring	Наведитесь на цветное кольцо
resource	camera_ai_analyzing_stable	ИИ анализирует кадр
Держите телефон неподвижно
resource	camera_ai_filter_analyzing	Анализ ИИ-фильтра...
resource	camera_ai_filter_off	Отключить ИИ-фильтр при компоновке
resource	camera_ai_filter_on	Включить ИИ-фильтр при компоновке
resource	camera_ai_filter_recommend_prefix	ИИ рекомендует фильтр:
resource	camera_ai_filter_unavailable_message	Это устройство пока не поддерживает ИИ-фильтр.
Мы продолжаем улучшать совместимость с большим числом устройств.
resource	camera_ai_filter_unavailable_title	ИИ-фильтр недоступен
resource	camera_ai_scene_failed_2	Не удалось распознать сцену (2)
resource	camera_ai_scene_failed_empty_template	Не удалось распознать сцену (4)
Пустой шаблон или фокусное расстояние
resource	camera_ai_scene_failed_network	Не удалось распознать сцену (1)
Проверьте подключение к сети
resource	camera_ai_scene_failed_service	Не удалось распознать сцену
Сервис временно недоступен, попробуйте позже
resource	camera_ai_scene_failed_template	Не удалось распознать сцену (5)
Не удалось загрузить изображение шаблона
resource	camera_ai_unavailable_message	Это устройство пока не поддерживает ИИ-компоновку.
Мы продолжаем улучшать совместимость с большим числом устройств.
resource	camera_ai_unavailable_title	ИИ-компоновка недоступна
resource	camera_capture_failed	Не удалось создать фото
resource	camera_front_unavailable	Фронтальная камера недоступна
